date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:22:09	28065/28065	---MCZ	200	added ('OK')	text/html	etag:W/%226443baff-6da1%22	http://citybook.kwst.net/dashboard-myprofile.html	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/dashboard-myprofile.html	(from http://citybook.kwst.net/index.html)
13:22:09	48528/48528	---MCZ	200	added ('OK')	text/html	etag:W/%226443baf2-bd90%22	http://citybook.kwst.net/blog-single.html	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/blog-single.html	(from http://citybook.kwst.net/index.html)
13:22:10	21908/21908	---MCZ	200	added ('OK')	text/html	etag:W/%226443baf2-5594%22	http://citybook.kwst.net/404.html	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/404.html	(from http://citybook.kwst.net/index.html)
13:22:10	4655/4655	---MCZ	200	added ('OK')	text/html	etag:W/%2265d35107-122f%22	http://citybook.kwst.net/coming-soon.html	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/coming-soon.html	(from http://citybook.kwst.net/index.html)
13:22:10	27423/27423	---MCZ	200	added ('OK')	text/html	etag:W/%226443bb08-6b1f%22	http://citybook.kwst.net/header2.html	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/header2.html	(from http://citybook.kwst.net/index.html)
13:22:11	26801/26801	---MCZ	200	added ('OK')	text/html	etag:W/%226443bb08-68b1%22	http://citybook.kwst.net/footer-fixed.html	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/footer-fixed.html	(from http://citybook.kwst.net/index.html)
13:22:22	91246/91246	---M--	200	added ('OK')	image/jpeg	etag:%225a6a0ccc-1646e%22	http://citybook.kwst.net/images/all/1.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/all/1.jpg	(from http://citybook.kwst.net/index.html)
13:22:29	104911/104911	---M--	200	added ('OK')	image/jpeg	etag:%225a6a0d06-199cf%22	http://citybook.kwst.net/images/all/22.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/all/22.jpg	(from http://citybook.kwst.net/index.html)
13:22:30	119172/119172	---M--	200	added ('OK')	image/jpeg	etag:%225a6a0cc4-1d184%22	http://citybook.kwst.net/images/all/3.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/all/3.jpg	(from http://citybook.kwst.net/index.html)
13:22:31	9575/9575	---M--	200	added ('OK')	image/jpeg	etag:%225a1aea18-2567%22	http://citybook.kwst.net/images/avatar/5.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/avatar/5.jpg	(from http://citybook.kwst.net/index.html)
13:22:34	13452/13452	---M--	200	added ('OK')	image/jpeg	etag:%22584fe46c-348c%22	http://citybook.kwst.net/images/avatar/2.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/avatar/2.jpg	(from http://citybook.kwst.net/index.html)
13:22:36	86737/86737	---M--	200	added ('OK')	image/jpeg	etag:%225a6a0cba-152d1%22	http://citybook.kwst.net/images/all/5.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/all/5.jpg	(from http://citybook.kwst.net/index.html)
13:22:38	8606/8606	---M--	200	added ('OK')	image/jpeg	etag:%225a1aea0a-219e%22	http://citybook.kwst.net/images/avatar/4.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/avatar/4.jpg	(from http://citybook.kwst.net/index.html)
13:22:42	17847/17847	---M--	200	added ('OK')	image/jpeg	etag:%22584fe466-45b7%22	http://citybook.kwst.net/images/avatar/1.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/avatar/1.jpg	(from http://citybook.kwst.net/index.html)
13:22:43	76590/76590	---M--	200	added ('OK')	image/jpeg	etag:%225a6a0cc8-12b2e%22	http://citybook.kwst.net/images/all/2.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/all/2.jpg	(from http://citybook.kwst.net/index.html)
13:22:44	6882/6882	---M--	200	added ('OK')	image/jpeg	etag:%225a1aea1e-1ae2%22	http://citybook.kwst.net/images/avatar/6.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/avatar/6.jpg	(from http://citybook.kwst.net/index.html)
13:22:51	108664/108664	---M--	200	added ('OK')	image/jpeg	etag:%225a6a0c7a-1a878%22	http://citybook.kwst.net/images/all/20.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/all/20.jpg	(from http://citybook.kwst.net/index.html)
13:22:55	20750/20750	---M--	200	added ('OK')	image/jpeg	etag:%22584fe5d2-510e%22	http://citybook.kwst.net/images/avatar/3.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/avatar/3.jpg	(from http://citybook.kwst.net/index.html)
13:22:55	85798/85798	---M--	200	added ('OK')	image/jpeg	etag:%225a6a0cb4-14f26%22	http://citybook.kwst.net/images/all/6.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/all/6.jpg	(from http://citybook.kwst.net/index.html)
13:22:55	1754/1754	---M--	200	added ('OK')	image/png	etag:%22584e7eac-6da%22	http://citybook.kwst.net/images/clients/1.png	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/clients/1.png	(from http://citybook.kwst.net/index.html)
13:22:56	944/944	---M--	200	added ('OK')	image/png	etag:%22584e7eb8-3b0%22	http://citybook.kwst.net/images/clients/2.png	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/clients/2.png	(from http://citybook.kwst.net/index.html)
13:22:56	1645/1645	---M--	200	added ('OK')	image/png	etag:%22584e7ec2-66d%22	http://citybook.kwst.net/images/clients/3.png	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/clients/3.png	(from http://citybook.kwst.net/index.html)
13:22:57	303184/303184	---M--	200	added ('OK')	image/jpeg	etag:%225a6a0b58-4a050%22	http://citybook.kwst.net/images/bg/19.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/bg/19.jpg	(from http://citybook.kwst.net/index.html)
13:23:02	111088/111088	---M--	200	added ('OK')	image/jpeg	etag:%225a6a0cbe-1b1f0%22	http://citybook.kwst.net/images/all/4.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/all/4.jpg	(from http://citybook.kwst.net/index.html)
13:23:09	69681/69681	---M--	200	added ('OK')	image/jpeg	etag:%225a6a0c7e-11031%22	http://citybook.kwst.net/images/all/19.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/all/19.jpg	(from http://citybook.kwst.net/index.html)
13:23:11	93113/93113	---M--	200	added ('OK')	image/jpeg	etag:%225a6a0c88-16bb9%22	http://citybook.kwst.net/images/all/18.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/all/18.jpg	(from http://citybook.kwst.net/index.html)
13:23:15	85591/85591	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3ddbdd-14e57%22	http://citybook.kwst.net/js/jquery.min.js	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/js/jquery.min.js	(from http://citybook.kwst.net/index.html)
13:23:15	126026/126026	---M--	200	added ('OK')	image/jpeg	etag:%225a13f68e-1ec4a%22	http://citybook.kwst.net/images/all/15.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/all/15.jpg	(from http://citybook.kwst.net/index.html)
13:23:15	89255/89255	---M--	200	added ('OK')	image/png	etag:%225a40e0c6-15ca7%22	http://citybook.kwst.net/images/bg/circle.png	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/bg/circle.png	(from http://citybook.kwst.net/index.html)
13:23:16	26787/26787	---MCZ	200	added ('OK')	application/javascript	etag:W/%226443bb78-68a3%22	http://citybook.kwst.net/js/scripts.js	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/js/scripts.js	(from http://citybook.kwst.net/index.html)
13:23:20	220277/220277	---MCZ	200	added ('OK')	application/javascript	etag:W/%226443bbeb-35c75%22	http://citybook.kwst.net/js/plugins.js	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/js/plugins.js	(from http://citybook.kwst.net/index.html)
13:23:29	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%22581afe74-12d68%22	http://citybook.kwst.net/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/fonts/fontawesome-webfont3e6e.woff2	(from http://citybook.kwst.net/css/plugins.css)
13:23:36	98024/98024	---M--	200	added ('OK')	font/woff	etag:%22581afe74-17ee8%22	http://citybook.kwst.net/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/fonts/fontawesome-webfont3e6e.woff	(from http://citybook.kwst.net/css/plugins.css)
13:23:41	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22581afe74-6c7db%22	http://citybook.kwst.net/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/fonts/fontawesome-webfont3e6e.svg	(from http://citybook.kwst.net/css/plugins.css)
13:23:42	2760/2760	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225695b55c-ac8%22	http://citybook.kwst.net/fonts/lg.eot?n1z373	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/fonts/lgd641.eot	(from http://citybook.kwst.net/css/plugins.css)
13:23:43	2760/2760	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225695b55c-ac8%22	http://citybook.kwst.net/fonts/lg.eot?	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/fonts/lgd41d.eot	(from http://citybook.kwst.net/css/plugins.css)
13:23:43	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22581afe74-2876e%22	http://citybook.kwst.net/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/fonts/fontawesome-webfont3e6e.eot	(from http://citybook.kwst.net/css/plugins.css)
13:23:44	2692/2692	---M--	200	added ('OK')	font/woff	etag:%225695b55c-a84%22	http://citybook.kwst.net/fonts/lg.woff?n1z373	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/fonts/lgd641.woff	(from http://citybook.kwst.net/css/plugins.css)
